"inventory_id","product_name","current_stock_left","last_stock_date","warehouse_id"
607,"Pet Water Fountain",1,"2022-08-01",1
609,"Pet Blanket",7,"2022-10-30",1
611,"Cat Food",4,"2023-07-25",1
612,"Dog Training Collar",8,"2022-05-04",1
614,"Remote Control Helicopter",5,"2023-07-30",1
615,"Magic Markers Set",2,"2023-02-21",1
617,"Giant Jenga",6,"2023-08-24",1
618,"Play Kitchen Set",8,"2022-03-21",1
622,"Hot Wheels Cars",7,"2023-12-12",1
624,"Sports Water Bottle",3,"2022-09-30",1
627,"Hiking Poles",4,"2022-01-15",1
631,"Pet Raincoat",3,"2023-11-05",1
632,"Dog Pool",9,"2023-08-08",1
634,"Dog Bone",7,"2022-10-01",1
636,"Pet Gate",2,"2022-05-17",1
638,"Pet GPS Tracker",1,"2023-10-10",1
642,"Inflatable Pool",7,"2022-11-16",1
647,"Outdoor Playhouse",2,"2022-05-03",1
649,"Electronic Drum Set",6,"2022-03-05",1
651,"Frisbee",9,"2023-01-10",1
653,"Tennis Set",1,"2022-07-08",1
658,"Bicycle Pump",4,"2023-10-26",1
659,"Sports Massage Roller",1,"2023-08-04",1
663,"Catnip Toys",3,"2022-11-22",1
666,"Pet Toothbrush",7,"2023-04-02",1
667,"Dog Travel Bowl",5,"2022-11-04",1
670,"Dog Cooling Vest",3,"2022-12-05",1
671,"Pet Litter Mat",8,"2023-05-10",1
681,"Paddle Ball",5,"2023-05-15",1
690,"Beach Ball",8,"2023-09-07",1
691,"Kids’ Baseball Mitt",9,"2022-06-08",1
692,"Archery Set",1,"2022-07-05",1
705,"Children’s Puzzle",1,"2023-02-23",1
706,"Remote-Controlled Boat",6,"2023-03-05",1
708,"Stuffed Animal Set",2,"2023-01-07",1
710,"Ride-On Car",7,"2022-03-12",1
711,"Inflatable Slide",7,"2022-08-12",1
712,"Kid’s Swing Set",7,"2022-01-11",1
724,"Pet Training Mat",8,"2022-11-26",1
725,"Cat Playhouse",8,"2022-01-05",1
727,"Pet Odor Neutralizer",5,"2023-05-06",1
731,"Pet Thermometer",4,"2023-08-20",1
734,"Kid’s Beach Tent",1,"2022-09-26",1
735,"Remote-Controlled Helicopter",2,"2023-06-27",1
741,"Kid’s Yoga Mat",9,"2022-07-09",1
744,"Pet First Aid Kit",4,"2022-03-16",1
745,"Cat Wand Toy",5,"2023-10-28",1
750,"Dog Bowls with Stand",5,"2023-01-26",1
756,"Remote-Controlled Car Set",7,"2022-12-08",1
757,"Mini Basketball Hoop",5,"2023-11-16",1
762,"Baseball Batting Tee",5,"2022-11-14",1
